"","X","eruptions","waiting"
"170",170,4.617,93
"171",171,1.917,49
"172",172,2.083,57
"173",173,4.583,77
"174",174,3.333,68
"175",175,4.167,81
"176",176,4.333,81
"177",177,4.5,73
"178",178,2.417,50
"179",179,4,85
"180",180,4.167,74
"181",181,1.883,55
"182",182,4.583,77
"183",183,4.25,83
"184",184,3.767,83
"185",185,2.033,51
"186",186,4.433,78
"187",187,4.083,84
"188",188,1.833,46
"189",189,4.417,83
"190",190,2.183,55
"191",191,4.8,81
"192",192,1.833,57
"193",193,4.8,76
"194",194,4.1,84
"195",195,3.966,77
"196",196,4.233,81
"197",197,3.5,87
"198",198,4.366,77
"199",199,2.25,51
"200",200,4.667,78
"201",201,2.1,60
"202",202,4.35,82
"203",203,4.133,91
"204",204,1.867,53
"205",205,4.6,78
"206",206,1.783,46
"207",207,4.367,77
"208",208,3.85,84
"209",209,1.933,49
"210",210,4.5,83
"211",211,2.383,71
"212",212,4.7,80
"213",213,1.867,49
"214",214,3.833,75
"215",215,3.417,64
"216",216,4.233,76
"217",217,2.4,53
"218",218,4.8,94
"219",219,2,55
"220",220,4.15,76
"221",221,1.867,50
"222",222,4.267,82
"223",223,1.75,54
"224",224,4.483,75
"225",225,4,78
"226",226,4.117,79
"227",227,4.083,78
"228",228,4.267,78
"229",229,3.917,70
"230",230,4.55,79
"231",231,4.083,70
"232",232,2.417,54
"233",233,4.183,86
"234",234,2.217,50
"235",235,4.45,90
"236",236,1.883,54
"237",237,1.85,54
"238",238,4.283,77
"239",239,3.95,79
"240",240,2.333,64
"241",241,4.15,75
"242",242,2.35,47
"243",243,4.933,86
"244",244,2.9,63
"245",245,4.583,85
"246",246,3.833,82
"247",247,2.083,57
"248",248,4.367,82
"249",249,2.133,67
"250",250,4.35,74
"251",251,2.2,54
"252",252,4.45,83
"253",253,3.567,73
"254",254,4.5,73
"255",255,4.15,88
"256",256,3.817,80
"257",257,3.917,71
"258",258,4.45,83
"259",259,2,56
"260",260,4.283,79
"261",261,4.767,78
"262",262,4.533,84
"263",263,1.85,58
"264",264,4.25,83
"265",265,1.983,43
"266",266,2.25,60
"267",267,4.75,75
"268",268,4.117,81
"269",269,2.15,46
"270",270,4.417,90
"271",271,1.817,46
"272",272,4.467,74
